CARTERA;COLOC_TOTAL;CART_VENCIDA;INS_COD;PERIODO;INDICADOR_CARTERA_VENCIDA
Colocaciones comerciales;5908188,0000000000;68007,00000000;49;202305;1,15106357482193e+00
Colocaciones para vivienda;1061567,0000000000;452,00000000;49;202305;4,25785654603054e-02
Colocaciones de consumo;456228,0000000000;2483,00000000;49;202305;5,44245421149075e-01
TOTAL:;7425983,0000000000;70942,00000000;49;202305;9,55321335909333e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7425983,0000000000;70942,00000000;49;202305;9,55321335909333e-01
Colocaciones a personas - subtotal:;1517795,0000000000;2935,00000000;49;202305;1,93372622785027e-01
Adeudado por bancos;NA;NA;51;202305;NA
Colocaciones comerciales;78549,0000000000;3363,00000000;51;202305;4,28140396440438e+00
Colocaciones para vivienda;631704,0000000000;831,00000000;51;202305;1,31548953307245e-01
Colocaciones de consumo;895044,0000000000;7810,00000000;51;202305;8,72582800398640e-01
TOTAL:;1605297,0000000000;12004,00000000;51;202305;7,47774399379056e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1605297,0000000000;12004,00000000;51;202305;7,47774399379056e-01
Colocaciones a personas - subtotal:;1526748,0000000000;8641,00000000;51;202305;5,65974214474163e-01
Adeudado por bancos;0,0000000000;0,00000000;53;202305;NA
Colocaciones comerciales;229,0000000000;39,00000000;53;202305;1,70305676855895e+01
Colocaciones para vivienda;16330,0000000000;1969,00000000;53;202305;1,20575627679118e+01
Colocaciones de consumo;76842,0000000000;3003,00000000;53;202305;3,90801905208089e+00
TOTAL:;93401,0000000000;5011,00000000;53;202305;5,36503891821287e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;93401,0000000000;5011,00000000;53;202305;5,36503891821287e+00
Colocaciones a personas - subtotal:;93172,0000000000;4972,00000000;53;202305;5,33636714892886e+00
Adeudado por bancos;0,0000000000;0,00000000;55;202305;NA
Colocaciones comerciales;3246805,0000000000;4659,00000000;55;202305;1,43494912691092e-01
Colocaciones para vivienda;1395695,0000000000;0,00000000;55;202305;0,00000000000000e+00
Colocaciones de consumo;92144,0000000000;419,00000000;55;202305;4,54723042194826e-01
TOTAL:;4734644,0000000000;5078,00000000;55;202305;1,07251991913225e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;4734644,0000000000;5078,00000000;55;202305;1,07251991913225e-01
Colocaciones a personas - subtotal:;1487839,0000000000;419,00000000;55;202305;2,81616492107009e-02
Adeudado por bancos;0,0000000000;0,00000000;59;202305;NA
Colocaciones comerciales;1754892,0000000000;7412,00000000;59;202305;4,22362173854573e-01
Colocaciones para vivienda;0,0000000000;0,00000000;59;202305;NA
Colocaciones de consumo;0,0000000000;0,00000000;59;202305;NA
TOTAL:;1754892,0000000000;7412,00000000;59;202305;4,22362173854573e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1754892,0000000000;7412,00000000;59;202305;4,22362173854573e-01
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;59;202305;NA
Adeudado por bancos;0,0000000000;0,00000000;60;202305;NA
Colocaciones comerciales;216917,0000000000;3600,00000000;60;202305;1,65962096101274e+00
Colocaciones para vivienda;0,0000000000;0,00000000;60;202305;NA
Colocaciones de consumo;0,0000000000;0,00000000;60;202305;NA
TOTAL:;216917,0000000000;3600,00000000;60;202305;1,65962096101274e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;216917,0000000000;3600,00000000;60;202305;1,65962096101274e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;60;202305;NA
Adeudado por bancos;NA;NA;61;202305;NA
Colocaciones comerciales;2440,0000000000;0,00000000;61;202305;0,00000000000000e+00
Colocaciones para vivienda;NA;NA;61;202305;NA
Colocaciones de consumo;NA;NA;61;202305;NA
TOTAL:;2440,0000000000;0,00000000;61;202305;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;2440,0000000000;0,00000000;61;202305;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;61;202305;NA
Adeudado por bancos;282411,0000000000;0,00000000;1;202306;0,00000000000000e+00
Colocaciones comerciales;19447005,0000000000;156329,00000000;1;202306;8,03871855846183e-01
Colocaciones para vivienda;11843185,0000000000;75496,00000000;1;202306;6,37463655258277e-01
Colocaciones de consumo;5156922,0000000000;37774,00000000;1;202306;7,32491203085872e-01
TOTAL:;36729523,0000000000;269599,00000000;1;202306;7,34011710416169e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;36447112,0000000000;269599,00000000;1;202306;7,39699211284559e-01
Colocaciones a personas - subtotal:;17000107,0000000000;113270,00000000;1;202306;6,66289923939891e-01
Adeudado por bancos;0,0000000000;0,00000000;9;202306;NA
Colocaciones comerciales;2900836,0000000000;13764,00000000;9;202306;4,74483907397729e-01
Colocaciones para vivienda;82569,0000000000;66,00000000;9;202306;7,99331468226574e-02
Colocaciones de consumo;32000,0000000000;7,00000000;9;202306;2,18750000000000e-02
TOTAL:;3015405,0000000000;13837,00000000;9;202306;4,58876999938648e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;3015405,0000000000;13837,00000000;9;202306;4,58876999938648e-01
Colocaciones a personas - subtotal:;114569,0000000000;73,00000000;9;202306;6,37170613342178e-02
Adeudado por bancos;867017,0000000000;0,00000000;12;202306;0,00000000000000e+00
Colocaciones comerciales;16763763,0000000000;278218,00000000;12;202306;1,65963930652086e+00
Colocaciones para vivienda;13887921,0000000000;104160,00000000;12;202306;7,50004266297310e-01
Colocaciones de consumo;2536192,0000000000;20066,00000000;12;202306;7,91186156253154e-01
TOTAL:;34054893,0000000000;402444,00000000;12;202306;1,18175088672280e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;33187876,0000000000;402444,00000000;12;202306;1,21262354963602e+00
Colocaciones a personas - subtotal:;16424113,0000000000;124226,00000000;12;202306;7,56363524776041e-01
Adeudado por bancos;13224,3658462300;0,00000000;14;202306;0,00000000000000e+00
Colocaciones comerciales;16096788,1610065196;125574,15825471;14;202306;7,80119344298173e-01
Colocaciones para vivienda;13826273,9040184394;5850,89141800;14;202306;4,23171959315771e-02
Colocaciones de consumo;2169952,0549718798;16672,60981000;14;202306;7,68340008794160e-01
TOTAL:;32106238,4858430699;148097,65948271;14;202306;4,61273778764249e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;32093014,1199968383;148097,65948271;14;202306;4,61463852939982e-01
Colocaciones a personas - subtotal:;15996225,9589903187;22523,50122800;14;202306;1,40805095437785e-01
Adeudado por bancos;371159,0000000000;0,00000000;16;202306;0,00000000000000e+00
Colocaciones comerciales;17817119,0000000000;217037,00000000;16;202306;1,21813745533158e+00
Colocaciones para vivienda;10215819,0000000000;4691,00000000;16;202306;4,59189811409149e-02
Colocaciones de consumo;2683433,0000000000;46710,00000000;16;202306;1,74068068776079e+00
TOTAL:;31087530,0000000000;268438,00000000;16;202306;8,63490923852747e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;30716371,0000000000;268438,00000000;16;202306;8,73924852646167e-01
Colocaciones a personas - subtotal:;12899252,0000000000;51401,00000000;16;202306;3,98480470030355e-01
Adeudado por bancos;0,0000000000;0,00000000;28;202306;NA
Colocaciones comerciales;5887608,0000000000;28823,00000000;28;202306;4,89553652349137e-01
Colocaciones para vivienda;1740182,0000000000;294,00000000;28;202306;1,68947845685107e-02
Colocaciones de consumo;244589,0000000000;645,00000000;28;202306;2,63707689225599e-01
TOTAL:;7872379,0000000000;29762,00000000;28;202306;3,78055985363510e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7872379,0000000000;29762,00000000;28;202306;3,78055985363510e-01
Colocaciones a personas - subtotal:;1984771,0000000000;939,00000000;28;202306;4,73102438518096e-02
Adeudado por bancos;28525,9049580000;0,00000000;31;202306;0,00000000000000e+00
Colocaciones comerciales;231260,5244890000;0,00000000;31;202306;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;31;202306;NA
Colocaciones de consumo;19,1438820000;0,00000000;31;202306;0,00000000000000e+00
TOTAL:;259805,5733290000;0,00000000;31;202306;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;231279,6683710000;0,00000000;31;202306;0,00000000000000e+00
Colocaciones a personas - subtotal:;19,1438820000;0,00000000;31;202306;0,00000000000000e+00
Adeudado por bancos;25799,0000000000;NA;37;202306;NA
Colocaciones comerciales;18042251,0000000000;316284,00000000;37;202306;1,75301851193623e+00
Colocaciones para vivienda;16407126,0000000000;47957,00000000;37;202306;2,92293726518587e-01
Colocaciones de consumo;4588635,0000000000;10924,00000000;37;202306;2,38066440237674e-01
TOTAL:;39063811,0000000000;375165,00000000;37;202306;9,60390167769345e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;39038012,0000000000;375165,00000000;37;202306;9,61024859565082e-01
Colocaciones a personas - subtotal:;20995761,0000000000;58881,00000000;37;202306;2,80442323571887e-01
Adeudado por bancos:;80601,7182490000;0,00000000;39;202306;0,00000000000000e+00
Colocaciones comerciales:;12624310,0841700006;208552,00000000;39;202306;1,65198730552024e+00
Colocaciones para vivienda:;6565133,9874069998;23131,00000000;39;202306;3,52330966045309e-01
Colocaciones de consumo:;2432104,5024379999;32942,00000000;39;202306;1,35446482529752e+00
TOTAL:;21702150,2922640033;264625,00000000;39;202306;1,21934921856259e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;21621548,5740150027;264625,00000000;39;202306;1,22389475986946e+00
Colocaciones a personas - subtotal:;8997238,4898450002;56073,00000000;39;202306;6,23224560105731e-01
Adeudado por bancos;0,0000000000;0,00000000;41;202306;NA
Colocaciones comerciales;32893,2429110625;0,00000000;41;202306;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;41;202306;NA
Colocaciones de consumo;0,0000000000;0,00000000;41;202306;NA
TOTAL:;32893,2429110625;0,00000000;41;202306;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;32893,2429110625;0,00000000;41;202306;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;41;202306;NA
Adeudado por bancos;0,0000000000;0,00000000;49;202306;NA
Colocaciones comerciales;5894841,0000000000;79250,00000000;49;202306;1,34439588786195e+00
Colocaciones para vivienda;1071742,0000000000;484,00000000;49;202306;4,51601224921670e-02
Colocaciones de consumo;454201,0000000000;2505,00000000;49;202306;5,51517940295156e-01
TOTAL:;7420784,0000000000;82239,00000000;49;202306;1,10822522256408e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7420784,0000000000;82239,00000000;49;202306;1,10822522256408e+00
Colocaciones a personas - subtotal:;1525943,0000000000;2989,00000000;49;202306;1,95878876209662e-01
Adeudado por bancos;NA;NA;51;202306;NA
Colocaciones comerciales;77657,0000000000;2764,00000000;51;202306;3,55924127895747e+00
Colocaciones para vivienda;630660,0000000000;790,00000000;51;202306;1,25265594773729e-01
Colocaciones de consumo;871773,0000000000;7837,00000000;51;202306;8,98972553634949e-01
TOTAL:;1580090,0000000000;11391,00000000;51;202306;7,20908302691619e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1580090,0000000000;11391,00000000;51;202306;7,20908302691619e-01
Colocaciones a personas - subtotal:;1502433,0000000000;8627,00000000;51;202306;5,74201977725463e-01
Adeudado por bancos;0,0000000000;0,00000000;53;202306;NA
Colocaciones comerciales;215,0000000000;31,00000000;53;202306;1,44186046511628e+01
Colocaciones para vivienda;16083,0000000000;2181,00000000;53;202306;1,35609028166387e+01
Colocaciones de consumo;75910,0000000000;2958,00000000;53;202306;3,89671979976288e+00
TOTAL:;92208,0000000000;5170,00000000;53;202306;5,60688877320840e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;92208,0000000000;5170,00000000;53;202306;5,60688877320840e+00
Colocaciones a personas - subtotal:;91993,0000000000;5139,00000000;53;202306;5,58629460937245e+00
Adeudado por bancos;0,0000000000;0,00000000;55;202306;NA
Colocaciones comerciales;3150396,0000000000;4497,00000000;55;202306;1,42743959806958e-01
Colocaciones para vivienda;1413880,0000000000;0,00000000;55;202306;0,00000000000000e+00
Colocaciones de consumo;92769,0000000000;383,00000000;55;202306;4,12853431642036e-01
