CARTERA;COLOC_TOTAL;CART_VENCIDA;INS_COD;PERIODO;INDICADOR_CARTERA_VENCIDA
Colocaciones comerciales;77386,0000000000;2560,00000000;51;202307;3,30809190292818e+00
Colocaciones para vivienda;628101,0000000000;823,00000000;51;202307;1,31029882136790e-01
Colocaciones de consumo;849017,0000000000;7457,00000000;51;202307;8,78309857164226e-01
TOTAL:;1554504,0000000000;10840,00000000;51;202307;6,97328536948120e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1554504,0000000000;10840,00000000;51;202307;6,97328536948120e-01
Colocaciones a personas - subtotal:;1477118,0000000000;8280,00000000;51;202307;5,60551018943646e-01
Adeudado por bancos;0,0000000000;0,00000000;53;202307;NA
Colocaciones comerciales;194,0000000000;29,00000000;53;202307;1,49484536082474e+01
Colocaciones para vivienda;15763,0000000000;2217,00000000;53;202307;1,40645816151748e+01
Colocaciones de consumo;74856,0000000000;3126,00000000;53;202307;4,17601795447259e+00
TOTAL:;90813,0000000000;5372,00000000;53;202307;5,91545263343354e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;90813,0000000000;5372,00000000;53;202307;5,91545263343354e+00
Colocaciones a personas - subtotal:;90619,0000000000;5343,00000000;53;202307;5,89611450137388e+00
Adeudado por bancos;0,0000000000;0,00000000;55;202307;NA
Colocaciones comerciales;3150410,0000000000;4515,00000000;55;202307;1,43314679676614e-01
Colocaciones para vivienda;1407446,0000000000;0,00000000;55;202307;0,00000000000000e+00
Colocaciones de consumo;94089,0000000000;325,00000000;55;202307;3,45417636493108e-01
TOTAL:;4651945,0000000000;4840,00000000;55;202307;1,04042502652116e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;4651945,0000000000;4840,00000000;55;202307;1,04042502652116e-01
Colocaciones a personas - subtotal:;1501535,0000000000;325,00000000;55;202307;2,16445171108233e-02
Adeudado por bancos;0,0000000000;0,00000000;59;202307;NA
Colocaciones comerciales;1680572,0000000000;12042,00000000;59;202307;7,16541748880738e-01
Colocaciones para vivienda;0,0000000000;0,00000000;59;202307;NA
Colocaciones de consumo;0,0000000000;0,00000000;59;202307;NA
TOTAL:;1680572,0000000000;12042,00000000;59;202307;7,16541748880738e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1680572,0000000000;12042,00000000;59;202307;7,16541748880738e-01
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;59;202307;NA
Adeudado por bancos;0,0000000000;0,00000000;60;202307;NA
Colocaciones comerciales;217081,0000000000;4183,00000000;60;202307;1,92693050059655e+00
Colocaciones para vivienda;0,0000000000;0,00000000;60;202307;NA
Colocaciones de consumo;0,0000000000;0,00000000;60;202307;NA
TOTAL:;217081,0000000000;4183,00000000;60;202307;1,92693050059655e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;217081,0000000000;4183,00000000;60;202307;1,92693050059655e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;60;202307;NA
Adeudado por bancos;NA;NA;61;202307;NA
Colocaciones comerciales;8023,0000000000;0,00000000;61;202307;0,00000000000000e+00
Colocaciones para vivienda;NA;NA;61;202307;NA
Colocaciones de consumo;NA;NA;61;202307;NA
TOTAL:;8023,0000000000;0,00000000;61;202307;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;8023,0000000000;0,00000000;61;202307;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;61;202307;NA
Adeudado por bancos;488617,0000000000;0,00000000;1;202308;0,00000000000000e+00
Colocaciones comerciales;19881961,0000000000;168767,00000000;1;202308;8,48844839802271e-01
Colocaciones para vivienda;11962645,0000000000;81266,00000000;1;202308;6,79331368606190e-01
Colocaciones de consumo;5202273,0000000000;37913,00000000;1;202308;7,28777593947876e-01
TOTAL:;37535496,0000000000;287946,00000000;1;202308;7,67129865554461e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;37046879,0000000000;287946,00000000;1;202308;7,77247659647659e-01
Colocaciones a personas - subtotal:;17164918,0000000000;119179,00000000;1;202308;6,94317327935968e-01
Adeudado por bancos;0,0000000000;0,00000000;9;202308;NA
Colocaciones comerciales;2956330,0000000000;13372,00000000;9;202308;4,52317569418840e-01
Colocaciones para vivienda;86228,0000000000;52,00000000;9;202308;6,03052372779144e-02
Colocaciones de consumo;35184,0000000000;7,00000000;9;202308;1,98954070031833e-02
TOTAL:;3077742,0000000000;13431,00000000;9;202308;4,36391354441016e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;3077742,0000000000;13431,00000000;9;202308;4,36391354441016e-01
Colocaciones a personas - subtotal:;121412,0000000000;59,00000000;9;202308;4,85948670642111e-02
Adeudado por bancos;1112650,0000000000;0,00000000;12;202308;0,00000000000000e+00
Colocaciones comerciales;17270968,0000000000;286306,00000000;12;202308;1,65772989678401e+00
Colocaciones para vivienda;14100037,0000000000;125802,00000000;12;202308;8,92210424696049e-01
Colocaciones de consumo;2598374,0000000000;22077,00000000;12;202308;8,49646740615477e-01
TOTAL:;35082029,0000000000;434185,00000000;12;202308;1,23762796045805e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;33969379,0000000000;434185,00000000;12;202308;1,27816584459787e+00
Colocaciones a personas - subtotal:;16698411,0000000000;147879,00000000;12;202308;8,85587257374369e-01
NA;3838,0000000000;0,00000000;14;202308;0,00000000000000e+00
NA;16324588,0000000000;105045,00000000;14;202308;6,43477189133349e-01
NA;13772230,0000000000;5855,00000000;14;202308;4,25130861160466e-02
NA;2218178,0000000000;16519,00000000;14;202308;7,44710298271825e-01
NA;32318834,0000000000;127419,00000000;14;202308;3,94256178920316e-01
NA;32314996,0000000000;127419,00000000;14;202308;3,94303004091351e-01
NA;15990408,0000000000;22374,00000000;14;202308;1,39921382869030e-01
Adeudado por bancos;463124,0000000000;0,00000000;16;202308;0,00000000000000e+00
Colocaciones comerciales;17732587,0000000000;226376,00000000;16;202308;1,27661011898602e+00
Colocaciones para vivienda;10230529,0000000000;4988,00000000;16;202308;4,87560320683319e-02
Colocaciones de consumo;2646852,0000000000;45580,00000000;16;202308;1,72204566027870e+00
TOTAL:;31073092,0000000000;276944,00000000;16;202308;8,91266308483237e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;30609968,0000000000;276944,00000000;16;202308;9,04751027508425e-01
Colocaciones a personas - subtotal:;12877381,0000000000;50568,00000000;16;202308;3,92688544355409e-01
Adeudado por bancos;100028,0000000000;0,00000000;28;202308;0,00000000000000e+00
Colocaciones comerciales;5984304,0000000000;26859,00000000;28;202308;4,48824123908144e-01
Colocaciones para vivienda;1747736,0000000000;333,00000000;28;202308;1,90532208525773e-02
Colocaciones de consumo;243616,0000000000;482,00000000;28;202308;1,97852357809011e-01
TOTAL:;8075684,0000000000;27674,00000000;28;202308;3,42683047033539e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7975656,0000000000;27674,00000000;28;202308;3,46980862765395e-01
Colocaciones a personas - subtotal:;1991352,0000000000;815,00000000;28;202308;4,09269682105424e-02
Adeudado por bancos;30150,7777190000;0,00000000;31;202308;0,00000000000000e+00
Colocaciones comerciales;237413,1265710000;0,00000000;31;202308;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;31;202308;NA
Colocaciones de consumo;26,2814560000;0,00000000;31;202308;0,00000000000000e+00
TOTAL:;267590,1857460000;0,00000000;31;202308;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;237439,4080270000;0,00000000;31;202308;0,00000000000000e+00
Colocaciones a personas - subtotal:;26,2814560000;0,00000000;31;202308;0,00000000000000e+00
Adeudado por bancos;20079,0000000000;NA;37;202308;NA
Colocaciones comerciales;18060482,0000000000;334016,00000000;37;202308;1,84943015363599e+00
Colocaciones para vivienda;16567664,0000000000;54007,00000000;37;202308;3,25978363636539e-01
Colocaciones de consumo;4632450,0000000000;10188,00000000;37;202308;2,19926820580902e-01
TOTAL:;39280675,0000000000;398211,00000000;37;202308;1,01375803750827e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;39260596,0000000000;398211,00000000;37;202308;1,01427650257780e+00
Colocaciones a personas - subtotal:;21200114,0000000000;64195,00000000;37;202308;3,02804975482679e-01
Adeudado por bancos:;147771,0122880000;0,00000000;39;202308;0,00000000000000e+00
Colocaciones comerciales:;12840027,1556979995;199732,00000000;39;202308;1,55554188147776e+00
Colocaciones para vivienda:;6585907,8078429997;24392,00000000;39;202308;3,70366557074366e-01
Colocaciones de consumo:;2426733,1149920002;33123,00000000;39;202308;1,36492141617762e+00
TOTAL:;22000439,0908209980;257247,00000000;39;202308;1,16928120815247e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;21852668,0785330012;257247,00000000;39;202308;1,17718806269110e+00
Colocaciones a personas - subtotal:;9012640,9228349999;57515,00000000;39;202308;6,38159230933925e-01
Adeudado por bancos;0,0000000000;0,00000000;41;202308;NA
Colocaciones comerciales;19698,0649848300;0,00000000;41;202308;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;41;202308;NA
Colocaciones de consumo;0,0000000000;0,00000000;41;202308;NA
TOTAL:;19698,0649848300;0,00000000;41;202308;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;19698,0649848300;0,00000000;41;202308;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;41;202308;NA
Adeudado por bancos;152,0000000000;NA;49;202308;NA
Colocaciones comerciales;5741217,0000000000;78128,00000000;49;202308;1,36082645891977e+00
Colocaciones para vivienda;1081695,0000000000;437,00000000;49;202308;4,03995581009434e-02
Colocaciones de consumo;458200,0000000000;2669,00000000;49;202308;5,82496726320384e-01
TOTAL:;7281264,0000000000;81234,00000000;49;202308;1,11565794070920e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7281112,0000000000;81234,00000000;49;202308;1,11568123110865e+00
Colocaciones a personas - subtotal:;1539895,0000000000;3106,00000000;49;202308;2,01702064101773e-01
Adeudado por bancos;NA;NA;51;202308;NA
Colocaciones comerciales;78172,0000000000;5080,00000000;51;202308;6,49849050811032e+00
Colocaciones para vivienda;627820,0000000000;822,00000000;51;202308;1,30929247236469e-01
Colocaciones de consumo;834590,0000000000;6724,00000000;51;202308;8,05665057093902e-01
TOTAL:;1540582,0000000000;12626,00000000;51;202308;8,19560399900817e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1540582,0000000000;12626,00000000;51;202308;8,19560399900817e-01
Colocaciones a personas - subtotal:;1462410,0000000000;7546,00000000;51;202308;5,15997565662160e-01
Adeudado por bancos;0,0000000000;0,00000000;53;202308;NA
Colocaciones comerciales;185,0000000000;26,00000000;53;202308;1,40540540540541e+01
Colocaciones para vivienda;15498,0000000000;2253,00000000;53;202308;1,45373596593109e+01
Colocaciones de consumo;73808,0000000000;3239,00000000;53;202308;4,38841318014307e+00
TOTAL:;89491,0000000000;5518,00000000;53;202308;6,16598317149211e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;89491,0000000000;5518,00000000;53;202308;6,16598317149211e+00
Colocaciones a personas - subtotal:;89306,0000000000;5492,00000000;53;202308;6,14964280115558e+00
Adeudado por bancos;0,0000000000;0,00000000;55;202308;NA
Colocaciones comerciales;3163948,0000000000;4162,00000000;55;202308;1,31544513373798e-01
Colocaciones para vivienda;1409295,0000000000;0,00000000;55;202308;0,00000000000000e+00
Colocaciones de consumo;95587,0000000000;329,00000000;55;202308;3,44189063366357e-01
TOTAL:;4668830,0000000000;4491,00000000;55;202308;9,61911228294883e-02
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;4668830,0000000000;4491,00000000;55;202308;9,61911228294883e-02
Colocaciones a personas - subtotal:;1504882,0000000000;329,00000000;55;202308;2,18621792273414e-02
Adeudado por bancos;0,0000000000;0,00000000;59;202308;NA
Colocaciones comerciales;1739204,0000000000;14330,00000000;59;202308;8,23940147331768e-01
Colocaciones para vivienda;0,0000000000;0,00000000;59;202308;NA
Colocaciones de consumo;0,0000000000;0,00000000;59;202308;NA
TOTAL:;1739204,0000000000;14330,00000000;59;202308;8,23940147331768e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1739204,0000000000;14330,00000000;59;202308;8,23940147331768e-01
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;59;202308;NA
Adeudado por bancos;0,0000000000;0,00000000;60;202308;NA
Colocaciones comerciales;224729,0000000000;4311,00000000;60;202308;1,91831049842254e+00
Colocaciones para vivienda;0,0000000000;0,00000000;60;202308;NA
Colocaciones de consumo;0,0000000000;0,00000000;60;202308;NA
TOTAL:;224729,0000000000;4311,00000000;60;202308;1,91831049842254e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;224729,0000000000;4311,00000000;60;202308;1,91831049842254e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;60;202308;NA
Adeudado por bancos;NA;NA;61;202308;NA
Colocaciones comerciales;8100,0000000000;0,00000000;61;202308;0,00000000000000e+00
Colocaciones para vivienda;NA;NA;61;202308;NA
Colocaciones de consumo;NA;NA;61;202308;NA
TOTAL:;8100,0000000000;0,00000000;61;202308;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;8100,0000000000;0,00000000;61;202308;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;61;202308;NA
Adeudado por bancos;480887,0000000000;0,00000000;1;202309;0,00000000000000e+00
Colocaciones comerciales;19606722,0000000000;172521,00000000;1;202309;8,79907411345966e-01
Colocaciones para vivienda;12014055,0000000000;85173,00000000;1;202309;7,08944648580350e-01
Colocaciones de consumo;5134367,0000000000;37236,00000000;1;202309;7,25230588308159e-01
TOTAL:;37236031,0000000000;294930,00000000;1;202309;7,92055415358312e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;36755144,0000000000;294930,00000000;1;202309;8,02418295518037e-01
Colocaciones a personas - subtotal:;17148422,0000000000;122409,00000000;1;202309;7,13820781877190e-01
Adeudado por bancos;0,0000000000;0,00000000;9;202309;NA
Colocaciones comerciales;3038266,0000000000;14787,00000000;9;202309;4,86692080285268e-01
Colocaciones para vivienda;90690,0000000000;51,00000000;9;202309;5,62355276215680e-02
Colocaciones de consumo;37248,0000000000;11,00000000;9;202309;2,95317869415808e-02
TOTAL:;3166204,0000000000;14849,00000000;9;202309;4,68984310549794e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;3166204,0000000000;14849,00000000;9;202309;4,68984310549794e-01
Colocaciones a personas - subtotal:;127938,0000000000;62,00000000;9;202309;4,84609732839344e-02
Adeudado por bancos;1025542,0000000000;0,00000000;12;202309;0,00000000000000e+00
Colocaciones comerciales;17317666,0000000000;299269,00000000;12;202309;1,72811393867973e+00
Colocaciones para vivienda;14246009,0000000000;142382,00000000;12;202309;9,99451846478547e-01
Colocaciones de consumo;2597410,0000000000;24280,00000000;12;202309;9,34777335884593e-01
TOTAL:;35186627,0000000000;465931,00000000;12;202309;1,32417068564145e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;34161085,0000000000;465931,00000000;12;202309;1,36392330630014e+00
Colocaciones a personas - subtotal:;16843419,0000000000;166662,00000000;12;202309;9,89478442589358e-01
Adeudado por bancos;28302,0000000000;0,00000000;14;202309;0,00000000000000e+00
Colocaciones comerciales;16375987,0000000000;118721,00000000;14;202309;7,24970043027025e-01
Colocaciones para vivienda;13760475,0000000000;6054,00000000;14;202309;4,39955742806844e-02
Colocaciones de consumo;2207019,0000000000;16758,00000000;14;202309;7,59304745450764e-01
TOTAL:;32371783,0000000000;141533,00000000;14;202309;4,37211011824712e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;32343481,0000000000;141533,00000000;14;202309;4,37593591116553e-01
Colocaciones a personas - subtotal:;15967494,0000000000;22812,00000000;14;202309;1,42865248610709e-01
Adeudado por bancos;458800,0000000000;0,00000000;16;202309;0,00000000000000e+00
Colocaciones comerciales;17859818,0000000000;232896,00000000;16;202309;1,30402224703522e+00
Colocaciones para vivienda;10251589,0000000000;5178,00000000;16;202309;5,05092430061330e-02
Colocaciones de consumo;2614314,0000000000;43298,00000000;16;202309;1,65618973084335e+00
TOTAL:;31184521,0000000000;281372,00000000;16;202309;9,02280974589926e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;30725721,0000000000;281372,00000000;16;202309;9,15753937881555e-01
Colocaciones a personas - subtotal:;12865903,0000000000;48476,00000000;16;202309;3,76778839386555e-01
Adeudado por bancos;0,0000000000;0,00000000;28;202309;NA
Colocaciones comerciales;6018957,0000000000;29014,00000000;28;202309;4,82043649755265e-01
Colocaciones para vivienda;1753186,0000000000;348,00000000;28;202309;1,98495767134805e-02
Colocaciones de consumo;240802,0000000000;538,00000000;28;202309;2,23420071261867e-01
TOTAL:;8012945,0000000000;29900,00000000;28;202309;3,73146202800593e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;8012945,0000000000;29900,00000000;28;202309;3,73146202800593e-01
Colocaciones a personas - subtotal:;1993988,0000000000;886,00000000;28;202309;4,44335673033138e-02
Adeudado por bancos;31256,9639210000;0,00000000;31;202309;0,00000000000000e+00
Colocaciones comerciales;245447,1143470000;0,00000000;31;202309;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;31;202309;NA
Colocaciones de consumo;23,6160570000;0,00000000;31;202309;0,00000000000000e+00
TOTAL:;276727,6943250000;0,00000000;31;202309;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;245470,7304040000;0,00000000;31;202309;0,00000000000000e+00
Colocaciones a personas - subtotal:;23,6160570000;0,00000000;31;202309;0,00000000000000e+00
Adeudado por bancos;13000,0000000000;NA;37;202309;NA
Colocaciones comerciales;18578097,0000000000;345461,00000000;37;202309;1,85950692366393e+00
Colocaciones para vivienda;16650160,0000000000;59074,00000000;37;202309;3,54795389353616e-01
Colocaciones de consumo;4619322,0000000000;9567,00000000;37;202309;2,07108315895709e-01
TOTAL:;39860579,0000000000;414102,00000000;37;202309;1,03887602836878e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;39847579,0000000000;414102,00000000;37;202309;1,03921495456474e+00
Colocaciones a personas - subtotal:;21269482,0000000000;68641,00000000;37;202309;3,22720600341842e-01
Adeudado por bancos:;89590,8488660000;0,00000000;39;202309;0,00000000000000e+00
Colocaciones comerciales:;12925601,8490350004;214944,00000000;39;202309;1,66293223720215e+00
Colocaciones para vivienda:;6601846,9603190003;24758,00000000;39;202309;3,75016266641899e-01
Colocaciones de consumo:;2405383,1660980000;34300,00000000;39;202309;1,42596824004723e+00
TOTAL:;22022422,8243179992;274002,00000000;39;202309;1,24419552828418e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;21932831,9754519984;274002,00000000;39;202309;1,24927779644085e+00
Colocaciones a personas - subtotal:;9007230,1264169998;59058,00000000;39;202309;6,55673266599360e-01
Adeudado por bancos;0,0000000000;0,00000000;41;202309;NA
Colocaciones comerciales;31195,7164989900;0,00000000;41;202309;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;41;202309;NA
Colocaciones de consumo;0,0000000000;0,00000000;41;202309;NA
TOTAL:;31195,7164989900;0,00000000;41;202309;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;31195,7164989900;0,00000000;41;202309;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;41;202309;NA
Adeudado por bancos;158,0000000000;NA;49;202309;NA
Colocaciones comerciales;5735841,0000000000;80299,00000000;49;202309;1,39995163743207e+00
Colocaciones para vivienda;1093747,0000000000;448,00000000;49;202309;4,09601123477367e-02
Colocaciones de consumo;457318,0000000000;2801,00000000;49;202309;6,12484092032240e-01
TOTAL:;7287064,0000000000;83548,00000000;49;202309;1,14652485555225e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7286906,0000000000;83548,00000000;49;202309;1,14654971533872e+00
Colocaciones a personas - subtotal:;1551065,0000000000;3249,00000000;49;202309;2,09468977766889e-01
Adeudado por bancos;NA;NA;51;202309;NA
Colocaciones comerciales;78927,0000000000;5664,00000000;51;202309;7,17625147288000e+00
Colocaciones para vivienda;627046,0000000000;833,00000000;51;202309;1,32845118220992e-01
Colocaciones de consumo;817695,0000000000;6365,00000000;51;202309;7,78407596964638e-01
TOTAL:;1523668,0000000000;12862,00000000;51;202309;8,44147150166572e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1523668,0000000000;12862,00000000;51;202309;8,44147150166572e-01
Colocaciones a personas - subtotal:;1444741,0000000000;7198,00000000;51;202309;4,98220788362758e-01
Adeudado por bancos;0,0000000000;0,00000000;53;202309;NA
Colocaciones comerciales;178,0000000000;25,00000000;53;202309;1,40449438202247e+01
Colocaciones para vivienda;15216,0000000000;2240,00000000;53;202309;1,47213459516299e+01
Colocaciones de consumo;73194,0000000000;3305,00000000;53;202309;4,51539743694838e+00
TOTAL:;88588,0000000000;5570,00000000;53;202309;6,28753330022125e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;88588,0000000000;5570,00000000;53;202309;6,28753330022125e+00
Colocaciones a personas - subtotal:;88410,0000000000;5545,00000000;53;202309;6,27191494174867e+00
Adeudado por bancos;0,0000000000;0,00000000;55;202309;NA
Colocaciones comerciales;3186021,0000000000;4480,00000000;55;202309;1,40614264626630e-01
Colocaciones para vivienda;1434054,0000000000;0,00000000;55;202309;0,00000000000000e+00
Colocaciones de consumo;97007,0000000000;365,00000000;55;202309;3,76261506901564e-01
TOTAL:;4717082,0000000000;4845,00000000;55;202309;1,02711803610792e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;4717082,0000000000;4845,00000000;55;202309;1,02711803610792e-01
Colocaciones a personas - subtotal:;1531061,0000000000;365,00000000;55;202309;2,38396771911766e-02
Adeudado por bancos;40011,0000000000;0,00000000;59;202309;0,00000000000000e+00
Colocaciones comerciales;1810386,0000000000;11889,00000000;59;202309;6,56710778806288e-01
Colocaciones para vivienda;0,0000000000;0,00000000;59;202309;NA
Colocaciones de consumo;0,0000000000;0,00000000;59;202309;NA
TOTAL:;1850396,0000000000;11889,00000000;59;202309;6,42511116539379e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;1810386,0000000000;11889,00000000;59;202309;6,56710778806288e-01
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;59;202309;NA
Adeudado por bancos;0,0000000000;0,00000000;60;202309;NA
Colocaciones comerciales;249831,0000000000;5439,00000000;60;202309;2,17707170046952e+00
Colocaciones para vivienda;0,0000000000;0,00000000;60;202309;NA
Colocaciones de consumo;0,0000000000;0,00000000;60;202309;NA
TOTAL:;249831,0000000000;5439,00000000;60;202309;2,17707170046952e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;249831,0000000000;5439,00000000;60;202309;2,17707170046952e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;60;202309;NA
Adeudado por bancos;NA;NA;61;202309;NA
Colocaciones comerciales;8004,0000000000;0,00000000;61;202309;0,00000000000000e+00
Colocaciones para vivienda;NA;NA;61;202309;NA
Colocaciones de consumo;NA;NA;61;202309;NA
TOTAL:;8004,0000000000;0,00000000;61;202309;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;8004,0000000000;0,00000000;61;202309;0,00000000000000e+00
Colocaciones a personas - subtotal:;0,0000000000;0,00000000;61;202309;NA
Adeudado por bancos;285406,0000000000;0,00000000;1;202310;0,00000000000000e+00
Colocaciones comerciales;19958953,0000000000;172769,00000000;1;202310;8,65621558405393e-01
Colocaciones para vivienda;12117577,0000000000;88252,00000000;1;202310;7,28297414573887e-01
Colocaciones de consumo;5205919,0000000000;37769,00000000;1;202310;7,25501107489379e-01
TOTAL:;37567855,0000000000;298790,00000000;1;202310;7,95334202604860e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;37282449,0000000000;298790,00000000;1;202310;8,01422674781906e-01
Colocaciones a personas - subtotal:;17323496,0000000000;126021,00000000;1;202310;7,27457090647292e-01
Adeudado por bancos;0,0000000000;0,00000000;9;202310;NA
Colocaciones comerciales;3077160,0000000000;13230,00000000;9;202310;4,29941894474126e-01
Colocaciones para vivienda;93721,0000000000;54,00000000;9;202310;5,76178231132830e-02
Colocaciones de consumo;39249,0000000000;9,00000000;9;202310;2,29305205228159e-02
TOTAL:;3210130,0000000000;13293,00000000;9;202310;4,14095379314856e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;3210130,0000000000;13293,00000000;9;202310;4,14095379314856e-01
Colocaciones a personas - subtotal:;132970,0000000000;63,00000000;9;202310;4,73791080694894e-02
Adeudado por bancos;950335,0000000000;0,00000000;12;202310;0,00000000000000e+00
Colocaciones comerciales;17313583,0000000000;318479,00000000;12;202310;1,83947482158950e+00
Colocaciones para vivienda;14403590,0000000000;154931,00000000;12;202310;1,07564155880583e+00
Colocaciones de consumo;2617370,0000000000;24699,00000000;12;202310;9,43657182591686e-01
TOTAL:;35284878,0000000000;498109,00000000;12;202310;1,41167839662078e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;34334543,0000000000;498109,00000000;12;202310;1,45075179826917e+00
Colocaciones a personas - subtotal:;17020960,0000000000;179630,00000000;12;202310;1,05534587943336e+00
Adeudado por bancos;10752,8453730500;0,00000000;14;202310;0,00000000000000e+00
Colocaciones comerciales;15993716,5674554110;105901,17352593;14;202310;6,62142367468369e-01
Colocaciones para vivienda;13788196,6447334401;6251,21263500;14;202310;4,53374200852272e-02
Colocaciones de consumo;2251630,7876657699;17737,80373700;14;202310;7,87775857132798e-01
TOTAL:;32044296,8452276699;129890,18989793;14;202310;4,05345732893728e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;32033543,9998546205;129890,18989793;14;202310;4,05481797139022e-01
Colocaciones a personas - subtotal:;16039827,4323992096;23989,01637200;14;202310;1,49559067721290e-01
Adeudado por bancos;497115,0000000000;0,00000000;16;202310;0,00000000000000e+00
Colocaciones comerciales;18035119,0000000000;236648,00000000;16;202310;1,31215103155127e+00
Colocaciones para vivienda;10317143,0000000000;5504,00000000;16;202310;5,33481022798657e-02
Colocaciones de consumo;2614371,0000000000;37496,00000000;16;202310;1,43422643534525e+00
TOTAL:;31463748,0000000000;279648,00000000;16;202310;8,88794303844539e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;30966633,0000000000;279648,00000000;16;202310;9,03062338097913e-01
Colocaciones a personas - subtotal:;12931514,0000000000;43000,00000000;16;202310;3,32521002567835e-01
Adeudado por bancos;0,0000000000;0,00000000;28;202310;NA
Colocaciones comerciales;6134324,0000000000;24293,00000000;28;202310;3,96017556294712e-01
Colocaciones para vivienda;1764806,0000000000;350,00000000;28;202310;1,98322081860556e-02
Colocaciones de consumo;241425,0000000000;763,00000000;28;202310;3,16040178109144e-01
TOTAL:;8140555,0000000000;25406,00000000;28;202310;3,12091743130536e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;8140555,0000000000;25406,00000000;28;202310;3,12091743130536e-01
Colocaciones a personas - subtotal:;2006231,0000000000;1113,00000000;28;202310;5,54771609051999e-02
Adeudado por bancos;31656,8812930000;0,00000000;31;202310;0,00000000000000e+00
Colocaciones comerciales;234220,9160150000;0,00000000;31;202310;0,00000000000000e+00
